domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.protothema.gr,-0.06983648206747009,0.22937925476874113,0.394395740336476,0.23592040468721964,440.0
www.newsit.gr,-0.06079995754347695,0.24451410238799307,0.44757202163428556,0.21771199669422353,251.0
www.skai.gr,0.004377701235452862,0.18933759941439737,0.3362760694842675,0.26812237551110446,176.0
www.naftemporiki.gr,0.023840568329592724,0.21738713899756995,0.3790456104193909,0.21113001559072825,123.0
dialogos.com.cy,0.00892983362920956,0.15491824058810838,0.3779342978253187,0.19211632912633977,122.0
www.alphafreepress.gr,-0.07583351963633651,0.3009116365756093,0.4694404389298755,0.24679064355893782,71.0
i-epikaira.blogspot.com,0.00590909090909091,0.2034259550094656,0.44753367003367,0.1714345577404425,6.0
techblog.gr,0.15482954545454544,0.15690702083942973,0.5166193181818182,0.1967700264546163,4.0
www.newsbeast.gr,-0.11176162131519272,0.07994097778345231,0.41947137188208616,0.10456082931895863,3.0
www-tanea-gr.cdn.ampproject.org,-0.09527777777777778,0.19969826776451557,0.39083333333333337,0.09454936981986359,3.0
www-in-gr.cdn.ampproject.org,-0.11333333333333334,0.19629909152447278,0.31,0.31511902513177464,3.0
www-newsbomb-gr.cdn.ampproject.org,0.22777777777777777,0.22505143445032327,0.4166666666666667,0.4010403138505321,3.0
gr.pcmag.com,0.021013708513708512,0.09332663950922945,0.2978896103896104,0.1224836795723666,3.0
www-topontiki-gr.cdn.ampproject.org,-0.03333333333333333,0.04714045207910317,0.20833333333333334,0.2946278254943948,2.0
www.sigmalive.com,0.07575757575757577,0.5056884859394702,0.646969696969697,0.12213662584131271,2.0
www.philenews.com,0.02652777777777778,0.03319473500570184,0.3581944444444444,0.12943982466720408,2.0
www.parapolitika.gr,-0.12749999999999997,0.07424621202458745,0.4458333333333333,0.31230549502405847,2.0
pelop-gr.cdn.ampproject.org,-0.10972222222222222,0.15517065476038128,0.2569444444444444,0.36337431810975357,2.0
www.huffingtonpost.gr,-0.08880208333333334,0.1926129409169606,0.3927083333333333,0.048613591206575144,2.0
www.real.gr,0.0,1.0,0.0,1.0,1.0
www.kathimerini.gr,0.0,1.0,0.0,1.0,1.0
www.proinoslogos.gr,0.0,1.0,0.0,1.0,1.0
www.reporter.com.cy,0.0,1.0,0.0,1.0,1.0
www.newsbomb.gr,0.0,1.0,0.0,1.0,1.0
www.theopinion.gr,0.0,1.0,0.0,1.0,1.0
www.liberal.gr,0.0,1.0,0.0,1.0,1.0
www.ertnews.gr,0.0,1.0,0.0,1.0,1.0
www.in.gr,0.0,1.0,0.0,1.0,1.0
www.ieidiseis.gr,0.0,1.0,0.0,1.0,1.0
www.iefimerida.gr,0.0,1.0,0.0,1.0,1.0
e--thessalia-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www.dnews.gr,0.0,1.0,0.0,1.0,1.0
www.cnn.gr,0.0,1.0,0.0,1.0,1.0
www.businessdaily.gr,0.0,1.0,0.0,1.0,1.0
www-newsit-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-ethnos-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-enikos-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-capital-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-athensvoice-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
m.kathimerini.com.cy,0.0,1.0,0.0,1.0,1.0
gr.euronews.com,0.0,1.0,0.0,1.0,1.0
www.vietnam.vn,0.0,1.0,0.0,1.0,1.0
