,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Attica,Attica,GPE,-0.24177842,0.59336082,en,167.60000000,,6692632,A,37.92037000,23.90350000,EUROPE-AFRICA,Greece,MED
Greece,Greece,GPE,-0.18321039,0.53946945,en,141.40000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
US,US,GPE,0.00954190,0.35954962,en,37.60000000,,0,,,,,,
Crete,Crete,GPE,-0.07851378,0.36252635,en,33.20000000,4073791-3,6697802,A,35.15585000,24.89502000,EUROPE-AFRICA,Greece,MED
Beaufort,Beaufort,GPE,0.07745546,0.41056724,en,27.60000000,4381459-1,2960809,P,49.83583000,6.29167000,EUROPE,Luxembourg,WCE
New York,New York,GPE,0.08175385,0.57465338,en,26.30000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Indonesia,Indonesia,GPE,0.08996530,0.47247446,en,24.70000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Aegean,Aegean,GPE,-0.01711695,0.36823987,en,22.00000000,,10922486,L,38.96622000,28.72059000,EUROPE-AFRICA,Turkey,MED
Iran,Iran,GPE,0.11455162,0.35392185,en,21.30000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Athens,Athens,GPE,-0.18281851,0.61411227,en,20.30000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
France,France,GPE,-0.14631643,0.43493357,en,18.40000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Ioannina,Ioannina,GPE,-0.00253223,0.28061694,en,18.10000000,4197925-4,261779,P,39.66341000,20.85187000,EUROPE-AFRICA,Greece,MED
Cyprus,Cyprus,GPE,-0.02638053,0.42779032,en,16.40000000,4241756-9,146669,A,35.00000000,33.00000000,EUROPE-AFRICA,Cyprus,MED
Chios,Chios,GPE,-0.02540107,0.39390638,en,15.30000000,4009976-3,259972,T,38.41102000,26.06161000,EUROPE-AFRICA,Greece,MED
Ionia,Ionia,GPE,-0.05208416,0.28001977,en,15.20000000,,6697805,A,37.79299000,20.78305000,EUROPE-AFRICA,Greece,MED
Alps,Alps,GPE,-0.09153529,0.38036787,en,14.80000000,,0,,,,,,
Spain,Spain,GPE,-0.19819820,0.51894037,en,14.80000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Peloponnese,Peloponnese,GPE,-0.15511699,0.39149660,en,14.00000000,4045064-8,255620,L,37.50000000,22.33333000,EUROPE-AFRICA,Greece,MED
USA,USA,GPE,-0.03372353,0.66840543,en,13.60000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Turkey,Turkey,GPE,0.00107230,0.25628064,en,13.60000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Italy,Italy,GPE,-0.01539518,0.48973444,en,13.30000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Portugal,Portugal,GPE,-0.24551282,0.55004274,en,13.00000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Australia,Australia,GPE,-0.07235863,0.35918899,en,12.80000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
