,phrase,label,sentiment,subjectivity,language,count
EMY,EMY,ORG,-0.11234897999603884,0.34754406813230354,en,25.49999999999999
NewsIT,NewsIT,ORG,0.04487179487179486,0.1756410256410256,en,13.000000000000002
Trump,Trump,ORG,0.001021450459652707,0.1653898535921008,en,8.9
the Fire Department,the Fire Department,ORG,-0.02059386973180073,0.31369731800766276,en,8.700000000000001
PASOK,PASOK,ORG,0.0934548739426788,0.3278927486244559,en,8.200000000000001
the Fire Service,the Fire Service,ORG,0.0176056338028169,0.1220657276995305,en,7.100000000000001
Thrace,Thrace,ORG,0.06309523809523811,0.32976190476190476,en,7.000000000000001
EU,EU,ORG,-0.003906249999999999,0.10651041666666666,en,6.4
the Geodynamic Institute,the Geodynamic Institute,ORG,0.0582010582010582,0.14550264550264547,en,6.300000000000001
UAE,UAE,ORG,-0.0439068100358423,0.2562724014336918,en,6.2
Ilissos,Ilissos,ORG,-0.3228511530398323,0.5964360587002097,en,5.3
Violanda,Violanda,ORG,-0.010869565217391318,0.3007246376811594,en,4.6
the Department of Meteorology,the Department of Meteorology,ORG,0.050438596491228074,0.2342105263157895,en,3.8
OPEKEPE,OPEKEPE,ORG,0.13513513513513514,0.2837837837837838,en,3.6999999999999997
Sykies,Sykies,ORG,0.027027027027027032,0.0,en,3.6999999999999997
the National Meteorological Service,the National Meteorological Service,ORG,0.09226190476190475,0.22916666666666666,en,2.8
WSJ,WSJ,ORG,0.0,0.0,en,2.8
The Ionian Road,The Ionian Road,ORG,-0.09173044217687076,0.2056760204081633,en,2.8
the European Parliament,the European Parliament,ORG,0.03571428571428572,0.10952380952380952,en,2.8
Civil Protection,Civil Protection,ORG,-0.42788461538461536,0.20032051282051283,en,2.5999999999999996
The Fire Department,The Fire Department,ORG,-0.23800505050505044,0.2916666666666667,en,2.4
Bora,Bora,ORG,0.5263157894736842,0.2631578947368421,en,1.9
SDOE,SDOE,ORG,0.011363636363636364,0.13875598086124405,en,1.9
the US Geological Survey,the US Geological Survey,ORG,0.22807017543859648,0.38596491228070173,en,1.9
Port-Olry,Port-Olry,ORG,0.22807017543859648,0.38596491228070173,en,1.9
Thodoris Kolidas,Thodoris Kolidas,ORG,-0.7368421052631577,0.3508771929824561,en,1.9
NHS,NHS,ORG,0.017543859649122834,0.36257309941520466,en,1.9
The Athens Stock Exchange,The Athens Stock Exchange,ORG,0.4298245614035088,0.3157894736842105,en,1.9
DEOS,DEOS,ORG,0.022727272727272728,0.13875598086124405,en,1.9
ERT,ERT,ORG,0.07894736842105264,0.31578947368421056,en,1.9
Sivota,Sivota,ORG,-0.36842105263157887,0.0,en,1.9
Polygono,Polygono,ORG,-0.17105263157894737,0.23026315789473686,en,1.9
USGS,USGS,ORG,0.22807017543859648,0.38596491228070173,en,1.9
Arta - Amfilochia,Arta - Amfilochia,ORG,-0.04088345864661654,0.14520676691729326,en,1.9
Police,Police,ORG,0.0,0.0,en,1.9
Menidi,Menidi,ORG,-0.052631578947368425,0.0,en,1.9
SBU,SBU,ORG,0.05639097744360902,0.3759398496240602,en,1.9
Vardousia,Vardousia,ORG,0.0,0.0,en,1.9
EMSC,EMSC,ORG,0.0,0.2105263157894737,en,1.9
Volkswagen,Volkswagen,ORG,0.0,0.0,en,1.9
The Risk Assessment Committee,The Risk Assessment Committee,ORG,-0.0625,0.2152777777777778,en,1.8
Astros,Astros,ORG,-0.2037037037037037,0.271604938271605,en,1.8
Google,Google,ORG,0.5486111111111112,0.9375,en,1.8
the Risk Assessment Committee,the Risk Assessment Committee,ORG,-0.106060606060606,0.2575757575757575,en,1.8
Attiki,Attiki,ORG,-0.3935185185185185,0.21296296296296294,en,1.8
the Municipal Unit of Paramythia,the Municipal Unit of Paramythia,ORG,0.09068627450980392,0.32598039215686275,en,1.7
Sporades,Sporades,ORG,0.019607843137254905,0.09640522875816994,en,1.7
the Geodynamic Institute of,the Geodynamic Institute of,ORG,0.0,0.0,en,1.7
cloudevo,cloudevo,ORG,0.0,0.0,en,1.7
Wall Street Journal,Wall Street Journal,ORG,0.14705882352941177,0.29411764705882354,en,1.7
AI,AI,ORG,-0.03342245989304813,0.0,en,1.7
Achaia - Alarm,Achaia - Alarm,ORG,0.0,0.0,en,1.0
Bell,Bell,ORG,-0.09999999999999999,0.0,en,1.0
ND,ND,ORG,0.25,0.0,en,1.0
12.3.26,12.3.26,ORG,0.16666666666666666,0.0,en,1.0
ESEE,ESEE,ORG,-0.09999999999999999,0.0,en,1.0
Code Red,Code Red,ORG,0.0,0.0,en,1.0
Civil Protection Emergency,Civil Protection Emergency,ORG,0.0,0.0,en,1.0
Mazaraki,Mazaraki,ORG,0.1,0.0,en,1.0
the Hellenic Confederation of Trade and Entrepreneurship,the Hellenic Confederation of Trade and Entrepreneurship,ORG,-0.09999999999999999,0.0,en,1.0
Energy,Energy,ORG,-0.1,0.0,en,1.0
Sivota - Pic,Sivota - Pic,ORG,0.0,0.0,en,1.0
Castle Peak,Castle Peak,ORG,0.1481818181818182,0.0,en,1.0
ESEE - Fears,ESEE - Fears,ORG,-0.1784090909090909,0.0,en,1.0
Bell-bell,Bell-bell,ORG,-0.1784090909090909,0.0,en,1.0
